原始数据,识别结果
打车花了34元,['打球花了34元']
出差到上海住酒店花了409块,['书签儿到上海住酒店欢乐409人']
上海住酒店309块,['上海住酒店309会']
酒店699元,['酒店699元']
10元,['实况徐敏']
海底捞509.43元,['海底捞509.43元']
海底捞509块4毛3,['海底捞509块四毛三']
10块,['十块']
景点门票30元一个人，一共2个人,['情侣门票三十元一个人一共两个人']
20190411-140000,
打车从莘庄到光大花了56元,['打球从新庄到光大欢乐56人']
房租5000元,['熊出五千人']
看电影45元,['看电影45']
今天在迪卡侬买了一双篮球鞋209块,['今天在迪卡侬买了一双篮球鞋209会']
今天买衣服花了109元,['今天买衣服花了109元']
今天付房租3个月房租8900元,['今天付房租三个月房租8900元']
买了一条裤子304.99元,['乱伦一条裤子304.99元']
买了一件衣服306块,['慢慢一件衣服306会']
房租699,['房租699']
中午吃饭10块1,['中午吃饭十块一']
今天吃饭花了10块,['今天吃饭花了十块']
今天中午吃饭10块,['今天中午吃饭石块']
约妹子看电影90元,['日妹子看电影就是人']
昨天打车从莘庄到光大花了56元,['昨天打球从新庄到光大欢乐56人']
199块9毛9,['199块九毛九']
